idnorempan;PERIODO;SECCION;ACTNOM;GASPROGESAMB;gastos_tot;FUEN_AG_TOT;WTOTECONSUM;ACTINV1;ACTINV2;ACTINV3;ACTINV4;ACTINV5;ACTINV6;ACTINV7;ACTINV8;ACTGAST1;ACTGAST2;ACTGAST3;ACTGAST4;ACTGAST5;ACTGAST6;ACTGAST7;ACTGAST8;ACTGAST9;PERSAMB
17918;2023;I2 Expendio de alimentos;Otros tipos de expendio de comidas preparadas n.c.p.;13672;16034531;5153;307465;0;0;0;0;0;0;0;0;0;0;0;1;1;0;1;0;0;0
17841;2023;I2 Expendio de alimentos;Otros tipos de expendio de comidas preparadas n.c.p.;13672;16034531;5153;307465;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
20577;2023;I2 Expendio de alimentos;Otros tipos de expendio de comidas preparadas n.c.p.;13672;16034531;5153;307465;0;0;0;0;0;0;0;0;0;1;0;1;1;0;0;0;0;0
21052;2023;I2 Expendio de alimentos;Catering para eventos;37515;10422371;1163;23810;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;1
18403;2023;I2 Expendio de alimentos;Catering para eventos;37515;10422371;1163;23810;0;0;0;0;0;0;0;0;1;1;0;1;0;1;1;1;0;1
15031;2023;I2 Expendio de alimentos;Catering para eventos;37515;10422371;1163;23810;0;0;0;0;0;0;0;0;1;1;0;1;0;0;0;1;0;0
10347;2023;I2 Expendio de alimentos;Actividades de otros servicios de comidas;662460;356120527;29187;1680438;1;0;0;1;0;0;0;0;0;1;0;1;0;0;1;0;0;1
13837;2023;I2 Expendio de alimentos;Actividades de otros servicios de comidas;662460;356120527;29187;1680438;0;0;0;1;0;0;0;1;0;0;0;1;0;0;0;0;0;0
15193;2023;I2 Expendio de alimentos;Actividades de otros servicios de comidas;662460;356120527;29187;1680438;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;0;1
14298;2023;I2 Expendio de alimentos;Expendio de bebidas alcohólicas para el consumo dentro del establecimiento;43249;90699114;34471;2206093;0;0;0;0;0;0;0;0;0;1;0;1;0;1;0;1;0;1
10406;2023;I2 Expendio de alimentos;Expendio de bebidas alcohólicas para el consumo dentro del establecimiento;43249;90699114;34471;2206093;0;0;0;1;0;0;0;1;0;0;0;1;0;0;1;1;1;1
18899;2023;I2 Expendio de alimentos;Expendio de bebidas alcohólicas para el consumo dentro del establecimiento;43249;90699114;34471;2206093;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
17649;2023;J0 Edición;Edición de libros;17644;24181236;642;87262;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;1
17641;2023;J0 Edición;Edición de libros;17644;24181236;642;87262;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
17776;2023;J0 Edición;Edición de libros;17644;24181236;642;87262;0;0;0;0;0;0;0;0;0;1;0;1;1;0;1;0;0;0
17650;2023;J0 Edición;Edición de directorios y listas de correo;0;11300593;;152400;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
17613;2023;J0 Edición;Edición de libros;134220;84802642;5381;2164832;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;1
17607;2023;J0 Edición;Edición de periódicos, revistas y otras publicaciones periódicas;134220;84802642;5381;2164832;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0
17609;2023;J0 Edición;Edición de periódicos, revistas y otras publicaciones periódicas;134220;84802642;5381;2164832;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0
18622;2023;J0 Edición;Otros trabajos de edición;29288;22454630;633;244892;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
17655;2023;J0 Edición;Otros trabajos de edición;29288;22454630;633;244892;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
19867;2023;J0 Edición;Actividades de impresión;29288;22454630;633;244892;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
13106;2023;J1 Producción, distribución y exhibición;Actividades de producción de películas cinematográficas, videos, programas, anuncios y comerciales de televisión;217;15094421;1247;17673;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10892;2023;J1 Producción, distribución y exhibición;Actividades de producción de películas cinematográficas, videos, programas, anuncios y comerciales de televisión;217;15094421;1247;17673;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
18680;2023;J1 Producción, distribución y exhibición;Actividades de producción de películas cinematográficas, videos, programas, anuncios y comerciales de televisión;217;15094421;1247;17673;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
11231;2023;J1 Producción, distribución y exhibición;Otras actividades profesionales, científicas y técnicas n.c.p.;0;5247011;603;107052;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
20691;2023;J1 Producción, distribución y exhibición;Actividades de postproducción de películas cinematográficas, videos, programas, anuncios y comerciales de televisión;0;5247011;603;107052;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
19451;2023;J1 Producción, distribución y exhibición;Actividades de distribución de películas cinematográficas, videos, programas, anuncios y comerciales de televisión;0;289557896;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
11250;2023;J1 Producción, distribución y exhibición;Actividades de grabación de sonido y edición de música;0;289557896;216;1104;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
19545;2023;J1 Producción, distribución y exhibición;Actividades de distribución de películas cinematográficas, videos, programas, anuncios y comerciales de televisión;0;289557896;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
11892;2023;J1 Producción, distribución y exhibición;Actividades de exhibición de películas cinematográficas y videos;3120;208142424;56529;8745273;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10169;2023;J1 Producción, distribución y exhibición;Actividades inmobiliarias realizadas con bienes propios o arrendados;3120;208142424;56529;8745273;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
11417;2023;J1 Producción, distribución y exhibición;Expendio por autoservicio de comidas preparadas;3120;208142424;56529;8745273;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0
17818;2023;J1 Producción, distribución y exhibición;Actividades de grabación de sonido y edición de música;0;31746808;270;5194;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
17661;2023;J1 Producción, distribución y exhibición;Actividades de grabación de sonido y edición de música;0;31746808;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
17819;2023;J1 Producción, distribución y exhibición;Actividades de grabación de sonido y edición de música;0;31746808;270;5194;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
14287;2023;J2 Prog y trans de radio y televisión;Actividades de espectáculos musicales en vivo;782;76737071;1784;5504555;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
14081;2023;J2 Prog y trans de radio y televisión;Actividades de programación y transmisión en el servicio de radiodifusión sonora;782;76737071;1784;5504555;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
15399;2023;J2 Prog y trans de radio y televisión;Actividades de programación y transmisión en el servicio de radiodifusión sonora;782;76737071;1784;5504555;0;0;0;0;0;0;1;0;0;0;0;1;0;0;1;0;0;0
13496;2023;J2 Prog y trans de radio y televisión;Actividades de programación y transmisión de televisión;209830;528410650;13323;4670055;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
11421;2023;J2 Prog y trans de radio y televisión;Actividades de programación y transmisión de televisión;209830;528410650;13323;4670055;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1
11426;2023;J2 Prog y trans de radio y televisión;Actividades de programación y transmisión de televisión;209830;528410650;13323;4670055;0;0;0;1;0;0;0;1;0;0;0;1;0;0;1;0;0;1
11440;2023;J2 Prog y trans de radio y televisión;Actividades de agencias de noticias;0;10986991;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
15390;2023;J2 Prog y trans de radio y televisión;Actividades de agencias de noticias;0;10986991;420;57247;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10550;2023;J3 Actividades de telecomunicaciones;Actividades de telecomunicaciones alámbricas;3122280;978466418;38161;45637644;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0
13871;2023;J3 Actividades de telecomunicaciones;Actividades de telecomunicaciones alámbricas;3122280;978466418;38161;45637644;0;0;0;0;0;0;0;0;1;1;0;1;0;0;1;1;1;0
13872;2023;J3 Actividades de telecomunicaciones;Actividades de telecomunicaciones alámbricas;3122280;978466418;38161;45637644;0;1;0;0;0;0;0;0;1;0;0;1;0;1;1;1;0;0
11908;2023;J3 Actividades de telecomunicaciones;Actividades de telecomunicaciones inalámbricas;862671;2440061316;57812;130031932;0;0;0;0;0;0;0;0;1;0;0;0;1;0;1;0;0;0
10548;2023;J3 Actividades de telecomunicaciones;Actividades de telecomunicaciones inalámbricas;862671;2440061316;57812;130031932;0;0;0;1;0;0;0;1;1;0;0;1;0;1;1;1;0;0
10549;2023;J3 Actividades de telecomunicaciones;Otras actividades de telecomunicaciones;862671;2440061316;57812;130031932;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;1;1;1
10559;2023;J3 Actividades de telecomunicaciones;Actividades de telecomunicación satelital;6791;84551820;32;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0
10533;2023;J3 Actividades de telecomunicaciones;Actividades de telecomunicaciones alámbricas;6791;84551820;5963;741509;0;0;0;0;0;0;0;0;1;1;0;1;0;1;0;0;0;0
10563;2023;J3 Actividades de telecomunicaciones;Otras actividades de telecomunicaciones;6791;84551820;5964;741508;0;0;0;0;0;0;0;0;0;1;0;1;1;0;1;0;0;0
18174;2023;J3 Actividades de telecomunicaciones;Instalaciones eléctricas;951241;106191323;3486;218978;0;0;0;0;0;0;0;0;1;1;0;1;1;0;1;0;0;1
10027;2023;J3 Actividades de telecomunicaciones;Otras actividades de telecomunicaciones;951241;106191323;3486;218978;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0
20755;2023;J3 Actividades de telecomunicaciones;Otras actividades de telecomunicaciones;951241;106191323;3486;218978;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
