PERIODO,idnoremp,ciiu4,ACTNOM,Seccion,gastos_tot,GASPROGESAMB,ACTINV1,ACTINV2,ACTINV3,ACTINV4,ACTINV5,ACTINV6,ACTINV7,ACTINV8,ACTGAST1,ACTGAST2,ACTGAST3,ACTGAST4,ACTGAST5,ACTGAST6,ACTGAST7,ACTGAST8,ACTGAST9,PERSAMB
2021,20116,5511,Alojamiento en hoteles,I1 Alojamiento,1557131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,20449,5514,Alojamiento rural,I1 Alojamiento,456948,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,20450,5511,Alojamiento en hoteles,I1 Alojamiento,682830,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,20451,5511,Alojamiento en hoteles,I1 Alojamiento,622625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,20452,5511,Alojamiento en hoteles,I1 Alojamiento,1653291,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,20453,5511,Alojamiento en hoteles,I1 Alojamiento,529937,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,20454,5511,Alojamiento en hoteles,I1 Alojamiento,317055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,20455,5513,Alojamiento rural,I1 Alojamiento,1287968,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,20456,5511,Otros tipos de alojamiento para visitantes,I1 Alojamiento,313592,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,20457,5511,Alojamiento en hoteles,I1 Alojamiento,563093,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,20458,5511,Alojamiento en hoteles,I1 Alojamiento,445549,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,20459,5511,Alojamiento en hoteles,I1 Alojamiento,782840,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,20460,5511,Alojamiento en hoteles,I1 Alojamiento,540502,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,20118,8610,"Actividades de hospitales y clínicas, con internación",Q Salud humana,178255701,269700,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,1
2021,20119,8691,Actividades de apoyo diagnóstico,Q Salud humana,48584156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,20120,8621,Otras actividades de atención de la salud humana,Q Salud humana,8930345,3600,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0
2021,20121,8621,"Actividades de la práctica médica, sin internación",Q Salud humana,13152204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,20122,8691,Actividades de apoyo diagnóstico,Q Salud humana,6162693,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,20123,8691,Actividades de apoyo diagnóstico,Q Salud humana,10000745,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,20124,8621,"Actividades de la práctica médica, sin internación",Q Salud humana,12010985,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,20125,8691,Actividades de apoyo diagnóstico,Q Salud humana,3414067,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,20126,8621,"Actividades de la práctica médica, sin internación",Q Salud humana,6729507,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,20127,8621,Actividades de apoyo diagnóstico,Q Salud humana,5927399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,20128,8692,Actividades de apoyo terapéutico,Q Salud humana,5790102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,20129,8621,Transporte aéreo nacional de pasajeros,Q Salud humana,14684222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,20130,8699,Actividades de apoyo terapéutico,Q Salud humana,17085982,133434,1,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1
2021,20131,8621,"Comercio al por menor de productos farmacéuticos y medicinales, cosméticos y artículos de tocador en establecimientos especializados",Q Salud humana,29170736,11001,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1
2021,20132,8621,"Actividades de la práctica médica, sin internación",Q Salud humana,15046624,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,20133,8610,"Actividades de la práctica médica, sin internación",Q Salud humana,8241337,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,20134,8621,"Actividades de la práctica médica, sin internación",Q Salud humana,10446005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
