idnorempan;PERIODO;SECCION;ACTNOM;GASPROGESAMB;gastos_tot;ACTINV1;ACTINV2;ACTINV3;ACTINV4;ACTINV5;ACTINV6;ACTINV7;ACTINV8;ACTGAST1;ACTGAST2;ACTGAST3;ACTGAST4;ACTGAST5;ACTGAST6;ACTGAST7;ACTGAST8;ACTGAST9;PERSAMB
18381;2022;J1 Producción, distribución y exhibición;Comercio al por menor de otros productos alimenticios n.c.p., en establecimientos especializados;4486;114796882;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
14079;2022;J1 Producción, distribución y exhibición;Actividades de exhibición de películas cinematográficas y videos;4486;114796882;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
11417;2022;J1 Producción, distribución y exhibición;Expendio por autoservicio de comidas preparadas;4486;114796882;0;1;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0
17818;2022;J1 Producción, distribución y exhibición;Actividades de grabación de sonido y edición de música;689;29054979;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
17661;2022;J1 Producción, distribución y exhibición;Actividades de grabación de sonido y edición de música;689;29054979;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
17819;2022;J1 Producción, distribución y exhibición;Actividades de grabación de sonido y edición de música;689;29054979;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
14287;2022;J2 Prog y trans de radio y televisión;Publicidad;4912;70062957;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
14081;2022;J2 Prog y trans de radio y televisión;Actividades de programación y transmisión en el servicio de radiodifusión sonora;4912;70062957;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
15399;2022;J2 Prog y trans de radio y televisión;Actividades de programación y transmisión en el servicio de radiodifusión sonora;4912;70062957;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0
11421;2022;J2 Prog y trans de radio y televisión;Actividades de programación y transmisión de televisión;411560;518314526;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1
11426;2022;J2 Prog y trans de radio y televisión;Actividades de programación y transmisión de televisión;411560;518314526;1;0;0;1;0;0;0;1;1;0;0;1;0;0;1;0;0;1
13877;2022;J2 Prog y trans de radio y televisión;Actividades de programación y transmisión de televisión;411560;518314526;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
15390;2022;J2 Prog y trans de radio y televisión;Actividades de agencias de noticias;0;7949338;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
13871;2022;J3 Actividades de telecomunicaciones;Actividades de telecomunicaciones alámbricas;664437;964425045;0;0;0;0;0;0;0;0;1;1;0;1;1;0;1;1;1;0
10550;2022;J3 Actividades de telecomunicaciones;Actividades de telecomunicaciones alámbricas;664437;964425045;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
13872;2022;J3 Actividades de telecomunicaciones;Actividades de telecomunicaciones alámbricas;664437;964425045;1;0;0;1;0;0;1;0;1;1;0;1;1;1;1;0;0;0
10552;2022;J3 Actividades de telecomunicaciones;Comercio al por menor de computadores, equipos periféricos, programas de informática y equipos de telecomunicaciones en establecimientos especializados;1180370;2368295328;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
10548;2022;J3 Actividades de telecomunicaciones;Actividades de telecomunicaciones inalámbricas;1180370;2368295328;1;0;0;1;0;0;1;0;1;1;0;1;1;1;1;0;0;0
10549;2022;J3 Actividades de telecomunicaciones;Actividades de telecomunicaciones inalámbricas;1180370;2368295328;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;1;1;0
10559;2022;J3 Actividades de telecomunicaciones;Actividades de telecomunicación satelital;15268;94216204;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;1;0
10533;2022;J3 Actividades de telecomunicaciones;Actividades de telecomunicación satelital;15268;94216204;0;0;0;0;0;0;0;0;1;1;0;1;0;1;0;0;0;0
10563;2022;J3 Actividades de telecomunicaciones;Otras actividades de telecomunicaciones;15268;94216204;1;1;0;1;1;0;0;0;0;1;0;1;1;0;1;0;0;0
12763;2022;J3 Actividades de telecomunicaciones;Otras actividades de tecnologías de información y actividades de servicios informáticos;321175;163593476;0;1;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0
18174;2022;J3 Actividades de telecomunicaciones;Actividades de consultoría informática y actividades de administración de instalaciones informáticas;321175;163593476;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
10534;2022;J3 Actividades de telecomunicaciones;Otras actividades de telecomunicaciones;321175;163593476;0;0;0;0;1;1;0;0;1;0;0;1;0;1;1;0;0;1
20927;2022;J4 Inform y serv de información;Edición de programas de informática (software);0;5396662;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
19812;2022;J4 Inform y serv de información;Edición de programas de informática (software);0;5396662;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
