Periodo,idnoremp,ciiu4,idact,seccion,gastos_tot,GASPROGESAMB,INGREVEN,ACTINV1,ACTINV2,ACTINV3,ACTINV4,ACTINV5,ACTINV6,ACTINV7,ACTINV8,ACTINV9,ACTGAST1,ACTGAST2,ACTGAST3,ACTGAST4,ACTGAST5,ACTGAST6,ACTGAST7,ACTGAST8,ACTGAST9,PERSAMB,PUEAA,SEPRRSSC,REUTRECI,TRATRECI,COMRESID,COMPMPS,intio
2019,10088,8610,8511,Q Salud humana,102088470,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,si,si,si,si,no,si,no,120903846
2019,10090,8621,8512,Q Salud humana,212806752,7541,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,si,no,si,si,no,no,no,160248918
2019,10092,8699,8519,Q Salud humana,9971485,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,7543001
2019,10093,8699,8519,Q Salud humana,50734420,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,no,si,si,no,no,no,42278441
2019,10094,8691,8514,Q Salud humana,18596665,7346,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,si,no,si,si,no,no,no,10214064
2019,10095,8691,8514,Q Salud humana,7937397,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,no,si,no,no,no,no,9354225
2019,10096,8621,8512,Q Salud humana,12153950,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,si,si,si,si,si,no,no,10120822
2019,10097,8610,8511,Q Salud humana,32594773,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,si,si,si,si,si,no,no,21731936
2019,10098,8691,8514,Q Salud humana,19677413,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,24521999
2019,10099,8621,8512,Q Salud humana,28781466,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,32305418
