id_empresa,periodo,id_sector,sector_desc,gastos_totales,gasto_gestion_amb,contrata_personal_amb,realiza_inv_red_emision_aire,realiza_inv_ahorro_agua,realiza_inv_inst_med_agua,realiza_inv_disp_desechos,realiza_inv_protec_suelo,realiza_inv_evita_ruido_vibra,realiza_inv_energia_limp,realiza_otras_inv_amb,realiza_gasto_red_emision_aire,realiza_gasto_ahorro_agua,realiza_gasto_inst_med_agua,realiza_gasto_disp_desechos,realiza_gasto_protec_suelo,realiza_gasto_evita_ruido_vibra,realiza_gasto_terceros_amb,realiza_gasto_energia_limp,realiza_otros_gastos_amb,anio_inicio,id_sector_general,total_ingresos,personal_remunerado,gasto_remuneracion_personal,gasto_personal_total,personal_mujeres,personal_hombres,personal_ocupado,imp_ind_com,imp_otros,gasto_servicios_publicos,gasto_energia_electrica,gasto_gas_natural
11203,2021,N3,obtencion y suministro de personal,"34.335.812,00","0,00",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1978,N3,34802560,1645,27045573,27160317,1316,329,1645,56567,164318,11185,25953,246
11204,2021,N3,obtencion y suministro de personal,"12.992.864,00","0,00",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1983,N3,14730011,581,11900459,11994397,349,232,581,143189,122239,5181,10211,707
11205,2021,N3,obtencion y suministro de personal,"3.965.493,00","0,00",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1984,N3,4436802,87,1808803,1808803,76,12,88,6099,266578,535,582,0
11210,2021,M1,"actividades profesionales, cientificas","1.330.302,00","0,00",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1986,M1,709315,16,420153,505823,11,10,21,7543,13118,3472,30402,448
11211,2021,N4,actividades administrativas,"15.236.779,00","0,00",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1996,N4,21650666,158,4078960,4269231,123,35,158,128682,103821,171040,245079,0
11212,2021,N4,actividades administrativas,"12.657.976,00","0,00",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1997,N4,14505518,450,8762457,9526237,232,218,450,123064,858376,33637,93260,0
11214,2021,N4,actividades administrativas,"13.102.005,00","0,00",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1981,N4,13384150,59,3303443,3568467,50,31,81,66453,81929,1570,3037,0
11216,2021,M1,"actividades profesionales, cientificas","9.854.027,00","0,00",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1988,M1,10926454,74,4750605,4760277,35,39,74,30840,43410,2048,14753,184
11217,2021,H1,auxiliares del transporte,"3.778.540,00","0,00",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1988,H1,3894452,83,2098260,2157931,55,28,83,39653,69196,6849,14252,0
11219,2021,N4,actividades administrativas,"2.587.071,00","0,00",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1991,N4,2657146,55,2427250,2538997,29,27,56,27254,11676,0,0,0
11220,2021,J4,inform y serv de informacion,"11.077.302,00","0,00",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1992,J4,11598614,27,3487906,3487906,7,20,27,146042,7359,63,7042,0
