id_empresa,anio_inicio,periodo,id_sector_general,total_ingresos,personal_remunerado,gasto_remuneracion_personal,gasto_personal_total,personal_mujeres,personal_hombres,personal_ocupado,imp_ind_com,imp_otros,gasto_servicios_publicos,gasto_energia_electrica,gasto_gas_natural
15189,1995,2022,Q,14764846,148,5743596,6692808,122,26,148,79143,265984,2908,154148,98
15191,1991,2022,Q,37455048,257,8664924,8918617,215,42,257,131844,332625,26349,237240,497
15192,1995,2022,Q,7540728,22,914190,939705,18,4,22,4072,30775,921,65115,0
15193,1985,2022,I2,143170862,1311,50167965,50824909,693,618,1311,985361,116794,78698,349875,548220
15194,1992,2022,Q,17940980,70,2768069,2836509,50,26,76,787,19993,11691,711311,0
15195,1992,2022,Q,70250434,239,8170130,8361214,391,143,534,0,27739,33022,866455,22919
15196,2002,2022,N3,41105893,1005,26257143,27321779,237,768,1005,3474,176738,3015,62470,218
15197,2006,2022,S,3454201,31,773771,814314,18,15,33,19067,9636,20277,60777,43687
15198,1996,2022,N3,55505688,1257,32060864,34425158,805,452,1257,8338,288294,13415,97394,949
15199,1971,2022,Q,91397974,850,27105011,27797230,633,217,850,0,105102,124355,1331430,25138
15200,1983,2022,I1,2109723,25,559034,585258,16,13,29,6284,28287,24032,154413,49320
15203,2001,2022,J3,19307545,227,4661583,4959989,147,80,227,279787,83867,17932,253763,347
15204,2009,2022,I1,4047031,41,996458,1080463,11,30,41,17064,76564,3458,202469,38468
15205,2004,2022,I2,31977002,109,3638825,3979467,83,26,109,63712,2017,618,1124,709
15206,1990,2022,N3,2013716,51,1072712,1097692,11,41,52,18902,15237,1396,4927,351
15207,1997,2022,J3,42477215,394,15544738,17338118,64,330,394,394043,1189149,5210,164581,1855
15208,2003,2022,Q,3398155,40,1071214,1194444,32,8,40,106,9708,4354,32729,0
15210,2006,2022,I2,23758567,383,12285098,12850562,188,195,383,107204,186905,34417,281928,14224
19310,2005,2022,I2,4239754,39,763799,814015,20,20,40,21472,29384,9876,128994,45857
15211,2009,2022,N3,14954187,456,10619609,10932476,57,401,458,12458,13065,2074,11515,157
20578,2004,2022,M1,4209070,27,714296,753632,16,12,28,19968,11198,7906,29979,0
15214,2007,2022,Q,8505837,74,1954331,2044173,66,10,76,10157,5837,58272,146062,1369
15215,1998,2022,N3,9642149,327,6528071,6701137,104,223,327,10314,224410,10051,33292,209
15216,2004,2022,M1,9305021,65,7310884,7449533,25,40,65,108211,44104,1158,28805,0
15217,2006,2022,N3,2026712,82,1416702,1467582,57,25,82,5890,11597,653,2414,174
15218,2006,2022,N3,10214169,373,8389107,8700833,41,332,373,7901,42814,4888,11871,0
15219,2012,2022,I1,4229711,34,988296,1164905,20,14,34,29445,22211,2361,280416,114389
16263,1993,2022,LN1,2430927,31,905129,939687,8,23,31,5249,6235,23266,1519119,0
15220,2008,2022,N3,5640129,77,4258906,4418168,14,63,77,715,1579,0,6690,1
15221,2011,2022,R,6592311,86,2057773,2129498,53,33,86,53153,37073,9072,152594,31300
15222,2004,2022,I1,11517922,0,0,0,49,39,88,103517,606813,20492,113410,127969
18524,2010,2022,I1,1576880,15,295080,295080,12,8,20,8750,40887,50619,192703,13275
15224,1998,2022,I1,3945135,28,852143,883408,15,13,28,38627,33555,12478,197705,36771
15226,2017,2022,I1,1983621,10,202984,216752,6,7,13,14570,21829,11165,119585,0
15227,2013,2022,I1,2618847,20,692050,692050,16,4,20,16027,14743,2542,152839,6522
15229,2012,2022,I1,13624169,84,2670859,2763335,70,42,112,65350,63610,172637,878707,232488
15231,2007,2022,Q,45793605,214,7509648,7956546,151,63,214,8575,7053,2714,113156,0
15232,2007,2022,Q,52299477,401,8126464,8590631,304,97,401,0,13845,38899,432119,0
15233,2005,2022,Q,3226217,37,1253090,1282344,28,9,37,25854,194358,7042,34412,79
15236,2004,2022,N3,3211510,116,2450707,2515310,15,103,118,3155,26551,1008,16238,0
15238,2009,2022,N3,5422187,124,3406328,3551926,12,112,124,23843,48694,0,30602,214
15240,1992,2022,R,105069867,903,21084078,22299966,791,112,903,104947,129718,115482,638114,0
15242,1996,2022,I2,26092873,263,9393889,9523557,181,82,263,379174,1488217,26068,202417,13444
15243,2012,2022,I2,29992543,289,7693787,8297658,182,107,289,299925,139779,24378,23227,13450
15244,2014,2022,I1,3859212,19,508876,558686,11,8,19,71567,90977,31656,406248,12868
15246,2014,2022,I1,5511418,34,1188191,1229123,21,19,40,1099,49627,38698,268210,10597
15247,2015,2022,I1,4083443,26,778621,858178,14,12,26,0,24374,11770,359857,7946
15248,2014,2022,Q,10599002,54,967387,1012741,41,13,54,18603,65020,4909,322049,0
18525,2015,2022,R,1990685,10,232396,250651,12,5,17,0,3029,6135,43360,0
20579,2003,2022,I2,2658910,18,305927,328865,12,6,18,4599,8416,235,50198,19819
17918,2011,2022,I2,20489179,131,4501552,4634128,89,44,133,620,0,74871,129369,80452
19117,2017,2022,I1,3067073,25,628462,726028,15,13,28,24131,148374,4652,8853,258
17920,2007,2022,I2,9455840,73,1627059,1690409,55,18,73,35000,17500,2700,24000,27000
