id_empresa,periodo,id_sector,sector_desc,gastos_totales,gasto_gestion_amb,contrata_personal_amb,realiza_inv_red_emision_aire,realiza_inv_ahorro_agua,realiza_inv_inst_med_agua,realiza_inv_disp_desechos,realiza_inv_protec_suelo,realiza_inv_evita_ruido_vibra,realiza_inv_energia_limp,realiza_otras_inv_amb,realiza_gasto_red_emision_aire,realiza_gasto_ahorro_agua,realiza_gasto_inst_med_agua,realiza_gasto_disp_desechos,realiza_gasto_protec_suelo,realiza_gasto_evita_ruido_vibra,realiza_gasto_terceros_amb,realiza_gasto_energia_limp,realiza_otros_gastos_amb,anio_inicio,id_sector_general,total_ingresos,personal_remunerado,gasto_remuneracion_personal,gasto_personal_total,personal_mujeres,personal_hombres,personal_ocupado,imp_ind_com,imp_otros,gasto_servicios_publicos,gasto_energia_electrica,gasto_gas_natural
19962,2022,Q,salud humana,17235744,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2005,Q,13604112.0,199.0,6801804,6801804,175.0,24.0,199.0,101466,9774,2732,25734,0
19964,2022,Q,salud humana,14744034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1982,Q,18128660.0,74.0,2399780,2651717,40.0,34.0,74.0,34807,269068,13096,42498,0
19965,2022,Q,salud humana,2477350,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1995,Q,3697483.0,5.0,327442,334308,3.0,2.0,5.0,27176,4861,1790,56010,0
15364,2022,Q,salud humana,36709421,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2005,Q,54597058.0,674.0,24988685,25876492,406.0,268.0,674.0,127428,294068,46063,144789,273
19971,2022,Q,salud humana,3535453,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1987,Q,6351642.0,12.0,656421,721329,9.0,3.0,12.0,66707,182331,1314,8242,0
19972,2022,Q,salud humana,1296986,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1985,Q,1696215.0,5.0,134157,135794,3.0,2.0,5.0,19118,6335,580,392,0
19976,2022,Q,salud humana,6866195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2002,Q,7037189.0,36.0,1469541,1499396,31.0,25.0,56.0,13020,197802,32658,41421,17303
20652,2022,Q,salud humana,2769044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2001,Q,15743301.0,9.0,177230,200909,9.0,1.0,10.0,5718,14825,2926,345,36
19980,2022,Q,salud humana,3556396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2000,Q,4599644.0,1.0,21226,22398,5.0,12.0,17.0,60610,61097,5796,35145,239
19981,2022,Q,salud humana,2669467,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2004,Q,3084484.0,44.0,1689769,1741707,31.0,20.0,51.0,34040,150564,4255,21001,0
19982,2022,Q,salud humana,6769023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2006,Q,7693477.0,19.0,1047561,1087074,22.0,6.0,28.0,88313,30162,7068,26323,45
19984,2022,Q,salud humana,4801677,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2005,Q,4279810.0,0.0,0,0,12.0,3.0,15.0,43195,0,0,0,0
19986,2022,Q,salud humana,3447817,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2002,Q,4521959.0,24.0,802930,829606,17.0,7.0,24.0,48815,265878,12057,17864,1546
19988,2022,Q,salud humana,4592516,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2006,Q,5836875.0,12.0,633659,643294,10.0,2.0,12.0,56384,11181,9134,10957,505
19990,2022,Q,salud humana,2632152,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2006,Q,2621218.0,52.0,1280140,1280140,26.0,26.0,52.0,29991,5800,4053,6721,40
19997,2022,Q,salud humana,1526288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2002,Q,1343602.0,16.0,380946,380946,15.0,8.0,23.0,13045,10021,1869,14899,346
19998,2022,Q,salud humana,3222019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2005,Q,3686512.0,21.0,800707,842294,16.0,5.0,21.0,232,2031,3844,29794,409
