id_empresa,periodo,id_sector,sector_desc,gastos_totales,gasto_gestion_amb,contrata_personal_amb,realiza_inv_red_emision_aire,realiza_inv_ahorro_agua,realiza_inv_inst_med_agua,realiza_inv_disp_desechos,realiza_inv_protec_suelo,realiza_inv_evita_ruido_vibra,realiza_inv_energia_limp,realiza_otras_inv_amb,realiza_gasto_red_emision_aire,realiza_gasto_ahorro_agua,realiza_gasto_inst_med_agua,realiza_gasto_disp_desechos,realiza_gasto_protec_suelo,realiza_gasto_evita_ruido_vibra,realiza_gasto_terceros_amb,realiza_gasto_energia_limp,realiza_otros_gastos_amb
20691,2022,J1,"produccion, distribucion y exhibicion",4804241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11231,2022,J1,"produccion, distribucion y exhibicion",4804241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19451,2022,J1,"produccion, distribucion y exhibicion",260680215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11250,2022,J1,"produccion, distribucion y exhibicion",260680215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11246,2022,J1,"produccion, distribucion y exhibicion",260680215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18381,2022,J1,"produccion, distribucion y exhibicion",114796882,4486,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14079,2022,J1,"produccion, distribucion y exhibicion",114796882,4486,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11417,2022,J1,"produccion, distribucion y exhibicion",114796882,4486,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
17818,2022,J1,"produccion, distribucion y exhibicion",29054979,689,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17661,2022,J1,"produccion, distribucion y exhibicion",29054979,689,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17819,2022,J1,"produccion, distribucion y exhibicion",29054979,689,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
14287,2022,J2,prog y trans de radio y television,70062957,4912,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14081,2022,J2,prog y trans de radio y television,70062957,4912,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15399,2022,J2,prog y trans de radio y television,70062957,4912,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
11421,2022,J2,prog y trans de radio y television,518314526,411560,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
11426,2022,J2,prog y trans de radio y television,518314526,411560,1,1,0,0,1,0,0,0,1,1,0,0,1,0,0,1,0,0
13877,2022,J2,prog y trans de radio y television,518314526,411560,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
15390,2022,J2,prog y trans de radio y television,7949338,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13871,2022,J3,actividades de telecomunicaciones,964425045,664437,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,1,1,1
10550,2022,J3,actividades de telecomunicaciones,964425045,664437,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
13872,2022,J3,actividades de telecomunicaciones,964425045,664437,0,1,0,0,1,0,0,1,0,1,1,0,1,1,1,1,0,0
10552,2022,J3,actividades de telecomunicaciones,2368295328,1180370,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
10548,2022,J3,actividades de telecomunicaciones,2368295328,1180370,0,1,0,0,1,0,0,1,0,1,1,0,1,1,1,1,0,0
10549,2022,J3,actividades de telecomunicaciones,2368295328,1180370,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1
10559,2022,J3,actividades de telecomunicaciones,94216204,15268,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1
10533,2022,J3,actividades de telecomunicaciones,94216204,15268,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0
10563,2022,J3,actividades de telecomunicaciones,94216204,15268,0,1,1,0,1,1,0,0,0,0,1,0,1,1,0,1,0,0
12763,2022,J3,actividades de telecomunicaciones,163593476,321175,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
