id_empresa,periodo,id_sector,sector_desc,gastos_totales,gasto_gestion_amb,realiza_inv_red_emision_aire,realiza_inv_ahorro_agua,realiza_inv_inst_med_agua,realiza_inv_disp_desechos,realiza_inv_protec_suelo,realiza_inv_evita_ruido_vibra,realiza_inv_energia_limp,realiza_otras_inv_amb,realiza_gasto_red_emision_aire,realiza_gasto_ahorro_agua,realiza_gasto_inst_med_agua,realiza_gasto_disp_desechos,realiza_gasto_protec_suelo,realiza_gasto_evita_ruido_vibra,realiza_gasto_terceros_amb,realiza_gasto_energia_limp,realiza_otros_gastos_amb
15075,2020,H1,auxiliares del transporte,16888874,19845,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0
14617,2020,H1,auxiliares del transporte,10491132,19503,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
18323,2020,H1,auxiliares del transporte,7383972,18978,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0
18691,2020,H1,auxiliares del transporte,5144603,17905,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
13559,2020,H1,auxiliares del transporte,7527596,17714,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1
18031,2020,H1,auxiliares del transporte,7129956,17513,1,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,1
18286,2020,H1,auxiliares del transporte,8485395,15822,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0
13000,2020,H1,auxiliares del transporte,116442720,15497,0,1,0,1,1,1,0,0,0,0,0,1,1,1,1,0,0
10497,2020,H1,auxiliares del transporte,14002096,12284,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
14938,2020,H1,auxiliares del transporte,3215849,12000,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0
18482,2020,H1,auxiliares del transporte,13587982,11962,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
10425,2020,H1,auxiliares del transporte,11181336,11500,0,1,0,1,1,0,0,0,0,1,0,1,0,0,1,0,0
10453,2020,H1,auxiliares del transporte,780644684,11363,0,1,0,1,1,0,0,0,0,1,0,1,1,0,0,0,0
15306,2020,H1,auxiliares del transporte,5608419,11000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
10230,2020,H1,auxiliares del transporte,7497746,10000,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0
14271,2020,H1,auxiliares del transporte,2136256,10000,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
18594,2020,H1,auxiliares del transporte,11271669,9994,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0
14676,2020,H1,auxiliares del transporte,3413913,9777,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
10424,2020,H1,auxiliares del transporte,17867158,9729,1,1,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0
18018,2020,H1,auxiliares del transporte,24823619,7871,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
15072,2020,H1,auxiliares del transporte,39700443,7748,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0
14586,2020,H1,auxiliares del transporte,4987720,7500,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
15032,2020,H1,auxiliares del transporte,1240175,6433,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
14148,2020,H1,auxiliares del transporte,2551910,6000,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
14600,2020,H1,auxiliares del transporte,9454399,6000,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
12765,2020,H1,auxiliares del transporte,3712905,5500,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
14593,2020,H1,auxiliares del transporte,36577733,5250,1,1,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0
11811,2020,H1,auxiliares del transporte,12939168,5019,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
12205,2020,H1,auxiliares del transporte,7077082,5000,0,1,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0
10510,2020,H1,auxiliares del transporte,270921724,4059,1,1,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0
19089,2020,H1,auxiliares del transporte,2597829,3583,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
10158,2020,H1,auxiliares del transporte,15492064,3581,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
18471,2020,H1,auxiliares del transporte,10592716,3474,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
10185,2020,H1,auxiliares del transporte,12032712,2681,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
10488,2020,H1,auxiliares del transporte,11064992,2432,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0
10410,2020,H1,auxiliares del transporte,3918779,2352,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
10024,2020,H1,auxiliares del transporte,2128876,2025,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
12176,2020,H1,auxiliares del transporte,1862467,1895,0,1,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0
14720,2020,H1,auxiliares del transporte,3012642,1877,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
14604,2020,H1,auxiliares del transporte,238349580,1861,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0
14851,2020,H1,auxiliares del transporte,10116932,1714,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
14723,2020,H1,auxiliares del transporte,3179443,1672,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
10446,2020,H1,auxiliares del transporte,98322790,1584,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
12337,2020,H1,auxiliares del transporte,13133404,1565,0,1,0,1,1,0,0,0,0,1,0,1,0,1,0,0,0
18467,2020,H1,auxiliares del transporte,81748532,1280,0,0,0,0,0,0,0,1,1,1,0,1,1,1,1,0,0
19109,2020,H1,auxiliares del transporte,3080774,1200,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
14646,2020,H1,auxiliares del transporte,7569485,1186,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
10214,2020,H1,auxiliares del transporte,1673619,1148,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
18687,2020,H1,auxiliares del transporte,20055756,1000,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
19065,2020,H1,auxiliares del transporte,4786171,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
10766,2020,H1,auxiliares del transporte,1979810,650,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
14687,2020,H1,auxiliares del transporte,11227404,550,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
19921,2020,H1,auxiliares del transporte,12820703,442,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0
13859,2020,H1,auxiliares del transporte,10796709,400,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
10496,2020,H1,auxiliares del transporte,21311562,280,1,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0
10508,2020,H1,auxiliares del transporte,9972239,254,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
13346,2020,H1,auxiliares del transporte,12944880,125,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
18515,2020,H1,auxiliares del transporte,9328100,70,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0
11509,2020,H1,auxiliares del transporte,22096942,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
